# Metadata
bin_width_s: 8.0ns
total_count: 102336

# bin-index, time, count
451 3.62e-06s 146
450 3.61e-06s 687
449 3.60e-06s 2638
448 3.59e-06s 2947
447 3.58e-06s 3621
446 3.58e-06s 3700
445 3.57e-06s 5553
444 3.56e-06s 425
443 3.55e-06s 4749
442 3.54e-06s 9416
441 3.54e-06s 10789
440 3.53e-06s 12207
439 3.52e-06s 14676
438 3.51e-06s 13659
